Job,Total Compensation
Health Program Coordinator 3,128725.12
Senior Eligibility Worker,74802.65
Police Officer,149430.1
Patient Care Assistant,33313.38
"Asst Dir, Log Cabin Rnch",145666.11
Registered Nurse,205490.28
Senior Eligibility Worker,100868.65
Registered Nurse,174327.48
Transit Operator,42647.29
Porter,77434.5
Maintenance Planner,157557.68
Transit Operator,17426.74
Clerk Typist,40626.77
Automotive Mechanic,104961.23
Dentist,65343.45
Pile Worker,138941.11
Senior Telephone Operator,92780.58
Clinical Pharmacist,212753.2
Electronic Maintenance Tech,162274.16
Nursing Assistant,52931.14
Accountant IV,161139.83
Physician Specialist,68419.09
Registered Nurse,176090.71
Pr Administrative Analyst,163989.24
Police Officer,123385.13
"Sprv, Traffic & Street Signs",132187.96
Porter,76288.92
Community Police Services Aide,108893.03
Electrical Transit System Mech,145943.08
"Marriage, Family & Child Cnslr",127711.26
Junior Administrative Analyst,60047.46
Senior Administrative Analyst,146881.64
Custodian,87060.87
Engineer/Architect Principal,237346.05
Special Nurse,167705.83
Hospital Eligiblity Worker,111898.14
Dep Dir V,16893.74
Sergeant 3,257892.53
General Laborer,126436.63
Transit Operator,65671.15
Automotive Body & Fender Wrk,156069.8
IS Business Analyst-Senior,134188.34
Sergeant 3,58605.56
Senior Clerk,50684.06
Sergeant 3,229886.27
"Inspector, Weights & Measures",94886.56
Custodian,96448.67
Health Worker 3,98975.54
Deputy Court Clerk III,123218.07
Police Officer 3,206775.98
Utility Plumber,86130.46
Project Manager 2,198776.89
Police Officer 3,168516.95
Public Svc Aide-Public Works,24927.76
Protective Services Supervisor,172320.82
Electrical Transit System Mech,177162.26
Senior Const Inspector,82341.77
IS Business Analyst-Principal,203572.79
Registered Nurse,210644.97
Estate Investigator,117354.26
Sheriff's Sergeant,263779.89
Special Nurse,48273.64
Sheriff's Lieutenant,307274.65
Police Officer 2,187590.62
Nursing Supervisor,64699.73
EMT/Paramedic/Firefighter,160998.27
Patient Care Assistant,87076.66
Firefighter,178026.19
Sergeant 3,209378.23
Transit Operator,129111.83
Electronic Maintenance Tech,158359.82
Dist Atty Investigator (SFERS),144295.8
Planner 3-Environmental Review,149121.56
Medical Records Clerk,95512.95
Clerk,33956.48
Senior Clerk,47852.76
Architectural Associate 1,77818.08
Police Officer,83770.41
Lieutenant 3,231013.52
Mayoral Staff XIV,170270.64
Emp & Training Spec 2,24878.82
Manager II,23794.84
Asst Forensic Toxicologist 1,156076.58
Commercial Div Asst Sprv,144485.69
Transit Supervisor,40300.96
Landscape Architect Assoc 2,107072.01
Transit Operator,138345.83
"Research Asst, Superior Court",86998.76
Firefighter,188706.67
Prnpl Admin Analyst II,137905.98
Truck Driver,121643.04
PS Aide Health Services,50098.85
Police Officer,159275.64
EMT/Paramedic/Firefighter,141235.66
Registered Nurse,162819.18
Construction Inspector,170451.13
Registered Nurse,181449.67
Painter,124909.54
Custodian,72141.52
Protective Services Supervisor,153463.67
Planner 3,52398.68
Asst Engr,70153.94
Custodian,94624.15
Senior Eligibility Worker,104543.87
Maintenance Scheduler,112472.04
Clerk,71772.75
PS Aide To Prof,32040.14
Police Officer 3,192210.07
Registered Nurse,200615.36
Transit Operator,148735.2
Transit Operator,116766.69
Court Supervisor II,178680.45
Deputy Sheriff,215039.58
Registered Nurse,183254.09
Public Svc Aide-Public Works,30551.56
Transit Operator,46111.91
Special Nurse,104883.41
HSA Social Worker,90209.01
Public Service Trainee,17907.41
Transit Operator,78006.36
Painter,138265.52
Clerk,77038.26
Planner Technician,42054.59
Carpenter,15883.43
"Head Atty, Civil & Criminal",268290.93
Custodian,110932.41
Transit Operator,77543.31
Porter,89520.85
Water & Power Maint Sprv 1,158309.29
Police Officer 2,161209.62
Police Officer,80113.02
"Stdntdsgntrain1, Arch/Eng/Plng",14654.81
Transit Operator,106196.84
Registered Nurse,114716.06
Deputy Court Clerk II,112417.71
Registered Nurse,238622.89
Stationary Engineer,74059.89
Manager III,209910.19
Transit Operator,91389.58
Transit Operator,109968.33
HSA Social Worker,71691.44
Medical Social Worker,132246.27
"Station Agent, Muni Railway",104115.34
Senior Administrative Analyst,143834.15
Asst Engr,141967.38
Custodian,87049.98
Police Officer,122390.73
Librarian 1,24853.06
Administrative Analyst,104443.66
Transit Operator,120616.38
Registered Nurse,169718.5
Firefighter,184978.28
Licensed Vocational Nurse,143709.87
Unit Clerk,81331.34
Museum Guard,36185.53
Custodian,90467.84
Stdntdsgn Train2/Arch/Eng/Plng,14560.25
Police Officer,44164.33
Library Page,45231.96
Protective Services Worker,116035.3
Patient Care Assistant,67123.39
Psychiatric Social Worker,79898.69
Transit Operator,113984.19
Materials Testing Technician,110789.35
Transit Operator,130991.64
Manager I,178364.07
Nurse Practitioner,259751.18
Police Officer 2,208040.92
Plumber,144501.82
Transit Operator,100464.0
Deputy Sheriff,183101.61
Public Service Trainee,61313.52
Asr-Office Assistant,88120.79
Storekeeper,85956.73
"Stdntdsgntrain1, Arch/Eng/Plng",13861.3
Building Plans Engineer,202134.69
Ornamental Iron Worker,53732.02
Librarian 1,79829.13
Gardener,103828.05
PS Aide To Prof,33027.84
"Captain, Fire Suppression",275595.49
Clerk Typist,85959.03
Power Generation Technician 1,108778.02
Senior Food Service Worker,88418.82
Licensed Vocational Nurse,116586.83
Firefighter,161760.87
Cement Mason,111644.88
"Lieutenant, Fire Suppression",73129.05
Physical Therapist,113257.21
Porter,92171.65
Firefighter,150561.21
Transit Operator,116586.67
Senior Storekeeper,63224.23
Attorney (Civil/Criminal),114850.73
Sheet Metal Worker,174907.04
Medical Social Worker,130321.34
EMT/Paramedic/Firefighter,182369.76
Contract Compliance Officer 2,178321.47
Employment & Training Spec 3,92982.75
Transit Operator,31307.11
Asst Engr,93708.02
Transit Operator,134084.46
Cement Mason,99416.28
IS Business Analyst-Senior,156315.48
Parking Control Officer,35364.75
Transit Operator,114216.01
Painter,101974.45
Senior Eligibility Worker,94818.47
Transit Supervisor,166782.29
Custodian,93451.42
Health Care Billing Clerk 2,82341.85
Sergeant 3,197801.92
Clerk,75724.24
Senior Management Assistant,37283.95
Administrative Analyst,35175.77
Nurse Practitioner,259980.98
Customer Service Agent,44134.53
Licensed Vocational Nurse,73312.87
Physical Therapist,151626.43
IS Engineer-Principal,54402.15
Secretary 2,29117.04
Transit Operator,116592.35
Transit Operator,122689.39
Health Care Analyst,85225.13
Transit Operator,77655.88
Pr Administrative Analyst,15285.37
Senior Clerk Typist,83899.64
Carpenter,141581.82
Construction Inspector,34466.5
Special Nurse,36636.11
School Crossing Guard,12679.98
General Laborer,28090.76
Senior Personnel Clerk,100929.99
Public Health Nurse,185090.08
Nurse Practitioner,255487.49
Protective Services Worker,155852.42
Senior Administrative Analyst,143293.83
Asst Med Examiner,427219.28
Heavy Equipment Ops Sprv,153048.87
Lighting Fixture Maint Worker,95220.74
Public Svc Aide-Public Works,17351.2
Sergeant 2,153687.01
Police Officer 3,190129.8
Registered Nurse,186673.15
Patient Care Assistant,81370.78
Accountant IV,165454.29
Porter,91012.48
Registered Nurse,192040.99
Transit Operator,130019.09
Senior Clerk,67536.52
Police Officer 3,208472.32
Public Svc Aide-Public Works,23399.59
Senior Clerk,85563.91
"Stdntdsgntrain1, Arch/Eng/Plng",26546.11
Personnel Technician,106274.04
Public Svc Aide-Public Works,17181.26
Airport Property Specialist 1,148565.58
Engineering Associate 1,127404.65
Psychiatric Social Worker,120297.56
Custodian,28653.97
Automotive Trnst Shop Sprv 1,36415.6
Public Svc Aide-Public Works,29030.07
Deputy Sheriff,154022.85
Nurse Practitioner,160871.45
Museum Guard,94898.86
Recreation Leader,22632.82
Museum Guard,16419.94
Assoc Engineer,110228.27
Gardener,92424.1
Transit Operator,141832.46
Police Officer,154331.95
Senior Real Property Appraiser,45148.72
Architectural Assistant 2,38778.49
Automotive Mechanic,121574.65
General Laborer,116761.0
Lighting Fixture Maint Worker,90534.33
Environmental Spec,72754.1
Volunteer/Outreach Coord,99990.48
IT Operations Support Admin IV,51981.99
Senior Unit Clerk,103051.53
Auto Machinist Asst Sprv,151804.88
Automotive Mechanic,129249.49
Customer Service Agent Trainee,27788.01
Custodian,87080.0
Track Maintenance Worker,133182.24
Crane Mechanic Supervisor,192397.07
Account Clerk,65413.09
Senior Eligibility Worker,95731.24
PS Aide To Prof,14062.22
Emp & Training Spec 2,25932.74
Porter,64577.06
IS Engineer-Journey,183146.32
Deputy Court Clerk II,111615.66
Senior Account Clerk,29460.67
General Laborer,133740.97
Registered Nurse,147776.03
Patient Care Assistant,126893.41
Transit Planner 2,109211.58
Senior Management Assistant,130392.29
Engineer/Architect Principal,121411.93
Assessor-Recorder Office Spec,82258.78
City Planning Intern,31442.16
IS Business Analyst-Principal,127224.71
Survey Assistant I,33512.44
EMT/Paramedic/Firefighter,138178.17
Attorney (Civil/Criminal),183124.88
Library Page,32342.25
"Stdntdsgntrain3, Arch/Eng/Plng",33320.16
"Stdntdsgntrain1, Arch/Eng/Plng",22515.5
Transit Planner III,146942.34
Senior Eligibility Worker,97405.84
Patient Svcs Finance Tech,93133.93
Community Police Services Aide,103686.1
Police Officer 3,225130.74
Transit Power Line Worker,82166.07
Community Development Spec,108829.36
Nutritionist,137527.5
Medical Evaluations Assistant,20889.45
Assistant Retirement Analyst,117567.32
Hospital Eligiblity Worker,113429.46
Principal Clerk,101515.34
Public Svc Aide-Public Works,27938.62
Housekeeper/Food Service Clnr,80082.24
Lieutenant 3,261718.31
Attorney (Civil/Criminal),29874.27
Sewer Service Worker,135289.92
IS Business Analyst,137185.03
Senior Administrative Analyst,143771.85
Custodian,82798.81
Senior Personnel Analyst,142369.55
Psychiatric Technician,22686.59
Recreation Leader,14314.91
Senior Clerk Typist,92851.0
Airport Security ID Technician,42665.75
Transit Power Line Worker,177819.04
Registered Nurse,196008.02
Pharmacy Technician,57069.91
Legal Assistant,102312.32
Registered Nurse,116754.39
Police Officer 3,183004.24
Registered Nurse,175069.46
Police Officer 3,178529.36
Carpenter,127361.92
"Marriage, Family & Child Cnslr",109208.41
Court Administrator,88585.63
Engineer,185134.06
Arborist Technician,42178.52
Attorney (Civil/Criminal),157251.74
Medical Records Technician,97746.0
Police Officer 3,221927.39
Firefighter,173777.79
Registered Nurse,157988.63
Manager IV,213994.71
Police Officer 3,179427.26
Administrative Analyst,77462.03
Automotive Machinist,145175.47
Senior Eligibility Worker,64494.8
Police Officer 3,184337.47
General Laborer,82951.13
Transit Operator,111021.44
Senior Clerk,87273.05
Registered Nurse,107976.42
Electrical Transit System Mech,173171.53
Chemist I/II,138430.88
Nursing Assistant,103712.69
IS Engineer-Senior,182375.64
Stationary Engineer,136950.51
Deputy Sheriff (SFERS),141147.93
Social Work Supervisor,128983.61
Sheriff's Cadet,19072.0
Administrative Analyst,125257.33
Fire Alarm Dispatcher,114149.92
Automotive Mechanic,156654.81
"Inspector, (Police Department)",201836.88
"Marriage, Family & Child Cnslr",107399.33
Custodial Assistant Supervisor,101035.75
Nurse Manager,270347.0
Bldgs & Grounds Maint Supt,187324.28
Recreation Leader,22963.3
Police Officer,53556.96
Custodial Assistant Supervisor,94574.84
Police Officer,41355.36
"Manager III, MTA",132994.58
Special Nurse,101868.65
Pharmacist,172545.88
"Stdntdsgntrain1, Arch/Eng/Plng",34793.52
"Stdntdsgntrain1, Arch/Eng/Plng",19144.41
Nursing Supervisor,312297.18
Da Investigative Assist,97332.9
Nurse Practitioner,251122.27
Water Operations Analyst,181444.11
Senior Eligibility Worker,111495.37
Trans And Dist Line Worker,162448.59
Painter Supervisor 1,143536.83
Health Care Analyst,54716.79
Executive Secretary 2,117417.79
Police Officer 3,190398.97
Library Page,43897.8
Project Manager 1,176765.77
Sergeant 3,164880.88
Medical Records Technician,111561.38
IS Engineer-Assistant,151788.03
Transit Supervisor,180651.58
Park Patrol Officer,72227.44
Patient Care Assistant,66782.04
Accountant III,138772.41
Deputy Sheriff,183288.55
Licensed Vocational Nurse,132092.23
Clinical Pharmacist,189457.6
Transit Operator,42544.46
Registered Nurse,127565.02
Custodian,86059.96
Emp & Training Spec 2,52376.36
Library Page,41741.13
Transit Operator,84250.76
Transit Operator,42529.75
Firefighter,166728.35
Manager IV,210833.57
Custodian,79471.04
Licensed Vocational Nurse,122315.8
Automotive Mechanic,159661.77
Transit Operator,110640.95
Community Police Services Aide,95884.51
Automotive Service Worker,39330.16
Sergeant 3,214363.44
Library Page,45963.65
Firefighter,128255.88
Transit Operator,33068.12
Clerk,78651.38
Planner 4,173448.85
Deputy Sheriff,208226.82
Porter,86569.23
General Laborer,30625.79
Dietitian,121812.89
Public Svc Aide-Public Works,27633.06
Senior Physician Specialist,415456.65
Plumber Supervisor 1,132024.29
Mayoral Staff X,27103.73
Senior Personnel Analyst,34789.56
Senior Emp Relations Repres,48383.92
Community Police Services Aide,106212.6
"Sr Statnry Eng, Wtr Treat Plnt",185050.16
IS Business Analyst-Senior,58172.87
Transit Operator,64609.51
Transit Operator,77503.79
Bldg & Grounds Patrol Officer,52220.07
Assistant Chief Attorney 1,280672.88
"Sr Counselor, Juvenile Hall",155645.09
Carpenter,22375.47
Senior Collections Officer,114522.46
Health Worker 4,65995.38
Asst Engr,96720.5
Electr Maint Tech Asst Sprv,142732.99
Truck Driver,58675.88
Architectural Associate 1,260699.16
Deputy Sheriff,151477.62
IS Engineer-Principal,183733.59
Police Officer 3,232879.69
Senior Eligibility Worker,70779.04
IS Engineer-Journey,166333.94
Licensed Vocational Nurse,131411.64
Performance Analyst II,123406.44
Custodian,86056.19
Police Officer 3,104048.66
IS Business Analyst-Principal,186713.68
Sheriff's Sergeant,195041.11
Airport Communications Disp,149571.34
Sergeant 3,212638.18
"Stationary Eng, Sewage Plant",157028.21
Public Svc Aide-Public Works,31543.38
Airport Electrician,159051.96
Porter,35132.06
Mayoral Staff XI,146387.63
"Sr Statnry Eng, Wtr Treat Plnt",94191.53
Inspector 3,207009.47
Senior Clerk,79452.63
Management Assistant,56055.34
Museum Guard,17114.89
Transit Supervisor,147640.3
Junior Engineer,74435.03
Transit Operator,115101.08
Special Nurse,65897.86
Patient Care Assistant,93730.49
Deputy Sheriff (SFERS),70842.32
Recreation Leader,16146.1
Parking Control Officer,90894.69
EMT/Paramedic/Firefighter,134361.87
Deputy Sheriff,165341.7
Patient Care Assistant,96483.95
Asst Engr,141941.3
Accountant III,138812.46
"Stationary Eng, Sewage Plant",109565.68
Housekeeper/Food Service Clnr,80286.46
Accountant IV,142779.46
Meter Reader,96123.19
Special Nurse,17256.18
EMT/Paramedic/Firefighter,126659.05
"Sr Stationary Eng, Sew Plant",158480.48
IS Programmer Analyst-Senior,143310.14
Public Safetycomm Disp,136587.22
General Utility Mechanic,130401.54
Carpenter,34660.54
Social Work Supervisor,115225.72
Automotive Mechanic,134750.69
Transit Operator,120137.53
Custodian,89184.76
Parking Control Officer,83497.09
Recreation Leader,18460.48
Asst Engr,141754.53
Pr Administrative Analyst,151599.8
Senior Clerk,15844.96
Special Nurse,81677.35
"Marriage, Family & Child Cnslr",133917.65
Senior Clerk,43862.67
Librarian 1,34895.25
PS Aide To Prof,53117.16
Firefighter,121651.66
Transit Operator,65984.79
Electronic Maintenance Tech,227753.78
Community Police Services Aide,81649.26
Housekeeper/Food Service Clnr,83732.92
Manager IV,210090.7
Transit Operator,105582.65
Communications Dispatcher 1,21740.29
Porter,80206.88
Library Page,69534.42
Stationary Engineer,58921.27
Pr Administrative Analyst,19110.63
Manager IV,218229.52
Gardener,101178.31
Truck Driver,89266.04
Police Officer,170215.87
Manager II,183545.21
Special Nurse,46026.93
Emp & Training Spec 2,52344.75
Transit Operator,105839.98
Assistant Inspector 3,194672.34
Transit Operator,54715.77
Unit Clerk,61220.56
Fingerprint Technician 2,125821.19
Custodian,88120.57
Curator 3,45536.51
Assoc Engineer,40112.56
Airport Safety Officer,143132.77
Senior Eligibility Worker,18233.86
Registered Nurse,140070.47
"Head Atty, Civil & Criminal",266698.99
Transit Operator,17420.03
Street Inspector,115419.14
EMT/Paramedic/Firefighter,281523.21
Dental Aide,105321.72
Firefighter,184405.09
Transit Operator,91096.89
Transit Operator,26724.5
Nurse Practitioner,254241.58
Transit Operator,110577.49
Architectural Associate 1,141687.19
Sr Psychiatric Social Worker,139827.01
Court Staff Attorney II,107167.99
Senior Clerk Typist,84652.34
Porter,90052.63
Chief Surveyor,155201.22
Transit Operator,104504.3
Police Officer 3,201895.02
IT Operations Support Admin II,20417.73
Custodian,91948.66
Health Program Coordinator 3,143026.19
Health Worker 3,49866.44
Emp & Training Spec 2,74101.42
Engineering Associate 1,36132.99
Transit Operator,55569.6
Registered Nurse,72466.18
Sheet Metal Worker,87875.75
Automotive Mechanic,95478.76
Employment & Training Spec 1,41834.67
Manager I,32352.6
Utility Analyst,125855.98
"Property Manager, Port",16899.43
PS Aide To Prof,66995.51
Bldg & Grounds Maint Sprv,202926.4
Senior Clerk,59591.68
Transit Operator,95763.87
Medical Social Worker,127475.54
Attorney (Civil/Criminal),79064.71
Automotive Mechanic,106388.14
Assoc Engineer,59743.36
Pharmacy Technician,20471.02
Public Safetycomm Supv,135696.25
Assoc Engineer,93681.63
Plumbing Inspector,166483.17
Central Processing & Dist Tech,111215.42
Transit Operator,115985.93
Building Inspector,154010.16
Nurse Midwife,14621.15
Transit Operator,113319.8
Assoc Engineer,172334.87
Parking Control Officer,95086.37
Library Page,47427.81
IS Business Analyst,137284.91
Police Officer 3,175430.85
Patient Care Assistant,84144.7
Social Work Specialist,113879.06
Registered Nurse,186149.22
Deputy Sheriff,153587.05
Patient Care Assistant,102803.61
Home Health Aide,18084.85
Construction Inspector,23136.12
Emp & Training Spec 2,119405.18
Clinical Nurse Specialist,263053.83
Librarian 1,61322.79
Eligibility Worker,114147.78
Airport Safety Officer,166863.89
Nursery Specialist,111076.4
Emp & Training Spec 4,132120.35
Customer Service Agent,28912.01
Police Officer,17668.29
Transit Operator,33148.63
General Laborer Supervisor 1,132055.72
Child Support Officer II,113136.89
Patient Care Assistant,83785.48
Biologist I/II,113346.07
Physician Specialist,208552.34
Pharmacy Technician,124812.74
Parking Control Officer,94941.73
Deputy Court Clerk III,111837.42
IS Engineer-Senior,14098.34
Automotive Mechanic Sprv 1,146140.09
Electrical Inspector,159836.97
Special Nurse,65596.71
Dietitian,121576.0
Media Programming Spec,18897.18
Dep Dir III,206467.14
Librarian 1,101639.2
Senior Account Clerk,101527.49
Nursing Assistant,135844.13
Senior Eligibility Worker,81971.83
Transit Operator,106583.55
Sergeant 3,199477.85
Transit Operator,108014.67
Firefighter,175373.01
Transit Operator,44021.44
Custodian,24391.13
Library Technical Assistant 1,108051.37
Accountant IV,18377.41
Accountant II,116905.61
Health Program Coordinator 3,31712.0
Asst Materials Coordinator,143867.57
Registered Nurse,211780.62
Transit Car Cleaner,49227.67
Physical Therapist,138555.38
Junior Administrative Analyst,98143.66
Police Officer 2,197156.32
Patient Care Assistant,134284.66
Junior Clerk,20432.82
Senior Eligibility Worker,118705.51
Health Educator,98704.45
Sheriff's Lieutenant,168404.23
Administrative Engineer,197579.49
Firefighter,176557.74
Public Svc Aide-Public Works,24754.05
Accountant III,138646.28
Registered Nurse,203350.95
Secretary 2,100987.42
Child Care Specialist,79533.31
Custodian,64239.37
General Laborer Supervisor 1,109356.56
Transit Car Cleaner,39089.99
Dep Dir III,245314.07
Transit Operator,21393.44
"Deputy Dir I, MTA",245862.02
IT Operations Support Admin IV,149729.01
Senior Eligibility Worker,122604.46
Transit Operator,111592.41
Transit Operator,21984.46
Registered Nurse,135621.79
Clerk,85013.91
Public Defender's Investigator,115009.92
Porter,85260.37
Employment & Training Spec 5,123513.85
Asst Engr,109673.4
Custodian,80380.93
Sergeant 3,42704.39
"Sr Counselor, Juvenile Hall",119294.87
Police Officer 3,188830.05
Police Officer,184659.84
Medical Records Clerk,101602.4
Parking Control Officer,82681.25
Lieutenant 3,26353.88
Dentist,89199.68
Senior Administrative Analyst,52147.54
Psychiatric Technician,90656.97
Police Officer 2,208938.86
Aquatics Facility Asst Supv,28564.98
"Stdntdsgntrain3, Arch/Eng/Plng",35565.81
Library Assistant,46696.05
Health Program Coordinator 3,86853.02
Manager II,178163.51
Patient Care Assistant,33712.98
Deputy Sheriff,151237.85
Surgical Procedures Technician,129285.56
IS Engineer-Journey,158328.2
"Marriage, Family & Child Cnslr",32756.25
Police Officer,136303.64
Special Nurse,61809.2
Materials Testing Technician,107926.41
Automotive Mechanic,136974.15
Sr Payroll & Personnel Clerk,132724.74
"Sr Stationary Eng, Sew Plant",178083.97
Porter,92713.62
Psychiatric Social Worker,133471.93
Sr Environmental Hlth Insp,162890.02
Police Officer,80377.22
Transit Operator,117365.53
Firefighter,58223.7
Cook,123379.02
Utility Specialist,174111.13
Firefighter,193885.55
Police Officer,208920.48
Police Officer,112782.99
Parking Control Officer,88677.34
Museum Preparator,52555.3
IT Operations Support Admin IV,70930.49
Patient Care Assistant,70398.96
Public Safetycomm Supv,30350.96
Court Reporter,168534.53
Attorney (Civil/Criminal),235001.7
Health Worker 2,97692.92
Manager II,17286.65
Permit And Citation Clerk,101951.23
Police Officer,153970.45
Executive Secretary 2,27244.48
Patient Care Assistant,87250.01
Registered Nurse,202106.51
Nursing Supervisor,319173.65
Nutritionist,80072.13
Attorney (Civil/Criminal),173866.93
Police Officer 3,191970.92
Parking Control Officer,110682.2
Inspector 3,206685.28
Planner 3,108815.61
General Laborer,71687.37
Pharmacist,209100.01
Transit Operator,129628.63
General Laborer,39175.26
Senior Personnel Clerk,102285.4
Program Support Analyst,137284.2
Patient Care Assistant,78297.41
Biologist III,165552.0
Electronic Maintenance Tech,177802.6
Senior Management Assistant,28124.11
Clerk,49097.26
Registered Nurse,176169.18
Police Officer,44166.18
Police Officer,121381.05
Inspector 3,207145.55
"Insp, Fire Dept",231912.69
Dietetic Technician,46884.46
Police Officer,35936.69
Deputy Chief 3,187633.36
Heavy Equip Ops Asst Sprv,146634.33
Locksmith Supervisor 1,165332.08
Medical Evaluations Assistant,74760.93
Sewer Service Worker,132342.74
Architectural Associate 2,162130.64
Registered Nurse,172760.55
Nursing Supervisor,113134.35
Park Patrol Officer,63062.84
Institutional Police Officer,137003.47
Glazier,39979.65
Pilot Of Fire Boats,237047.54
Publ Svc Aide-Asst To Prof,35303.74
Real Property Appraiser,46645.63
PS Aide Health Services,48128.45
Transit Operator,43734.3
Senior Account Clerk,25785.71
Gardener,94231.84
Airport Safety Officer,152158.31
